,id,host_id,neighbourhood_group,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
count,34664.0,34664.0,0.0,34664.0,34664.0,33692.0,34664.0,34664.0,26218.0,34664.0,34664.0,34664.0,0.0
mean,5.5905204026595674e+17,197996159.35864297,,-22.967414612565104,-43.24875149789788,731.1882345957497,3.6833602584814216,22.303657973690285,1.0864226867037914,9.07090930071544,203.16469536118163,7.660281560120009,
std,4.785128148814427e+17,189893574.51418698,,0.0347926160267852,0.09947766369962231,5667.250476980952,14.20358867431681,44.08630485867201,1.1953246160370024,24.04225675883929,116.52426535057636,12.01122127219315,
min,17878.0,3607.0,,-23.07327595626029,-43.72300934046507,0.0,1.0,0.0,0.01,1.0,0.0,0.0,
25%,36161281.5,27149923.75,,-22.98461,-43.303281874999996,199.0,1.0,1.0,0.23,1.0,90.0,0.0,
50%,7.271246193394072e+17,113096711.0,,-22.97284,-43.19438423255411,307.0,2.0,5.0,0.67,2.0,190.0,2.0,
75%,1.0271225935575503e+18,371026651.0,,-22.956464986897252,-43.1854288351353,572.0,3.0,24.0,1.54,5.0,320.0,10.0,
max,1.1872085624387574e+18,585674641.0,,-22.74995,-43.1044,633125.0,1000.0,674.0,16.96,200.0,365.0,132.0,
