,id,host_id,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,availability_365,number_of_reviews_ltm,neighbourhood_cleansed,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,accommodates,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_accuracy,review_scores_communication,review_scores_checkin,review_scores_value,property_type,host_acceptance_rate,maximum_nights,region,distance_to_cristo_redentor,distance_to_pan_de_azucar,distance_to_copacabana_beach,distance_to_ipanema_beach,distance_to_botanical_garden
count,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0,26205.0
mean,5.050853160364949e+17,185590268.31093302,-22.96733839795265,-43.240147581207786,0.3935126884182408,64.78364761438702,3.096355657317306,29.5028048082427,2023-12-07 12:10:14.905552384,192.84785346307956,10.132570120206067,46.56809769128029,2.508528906697195,92.30109625549433,0.3635184125166953,0.8569356992940279,3.9183361953825604,4.801980156458691,4.76459454302614,4.865009349360809,4.8157740889143295,4.880735737454684,4.891105895821409,4.719613050944476,20.3981301278382,80.30959740507537,429.96771608471664,73.36099980919671,7.6261941718469295,9.766698558299161,7.467247852245663,7.398853965860627,7.840655064236943
min,17878.0,3607.0,-23.07327595626029,-43.701285860848,0.0,5.61,1.0,1.0,2012-02-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7597131991918552,0.29745141112791473,0.05338345798220337,0.007152727827420656,0.15685438174284702
25%,32639836.0,23944865.0,-22.98426,-43.24338,0.0,32.300000000000004,1.0,3.0,2024-01-21 00:00:00,89.0,1.0,29.0,2.0,92.30391864868315,0.0,1.0,2.0,4.75,4.69,4.85,4.78,4.88,4.89,4.64,16.0,73.0,60.0,32.0,3.4626255384181075,3.9408705740176986,1.2921857255151579,1.7746892083075834,4.092098961270993
50%,6.667404560785325e+17,106399891.0,-22.97274645723692,-43.19276,0.0,49.81,2.0,11.0,2024-05-05 00:00:00,178.0,5.0,29.0,3.0,100.0,0.0,1.0,4.0,4.92,4.9,4.97,4.93,5.0,5.0,4.82,16.0,92.0,365.0,67.0,3.913535329052615,5.390171766885555,3.1027939357976657,3.74864814918858,5.137397823248785
75%,9.69086169262685e+17,341887136.0,-22.958717131483453,-43.18439559999999,0.0,85.0,3.0,34.0,2024-06-04 00:00:00,302.0,15.0,63.0,3.0,100.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,16.0,99.0,1124.0,117.0,6.614486431355812,10.970271554415037,8.946356112992731,9.15584950192072,8.301543557028221
max,1.1834343181421294e+18,583793559.0,-22.74995,-43.1044,3.0,164.05,630.0,674.0,2024-06-27 00:00:00,365.0,132.0,142.0,3.0,100.0,1.0,1.0,16.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,73.0,99.0,1125.0,155.0,50.43951082716424,56.048238430755966,53.53678246554146,51.46474396257535,48.71026371018863
std,4.6549788283940115e+17,182980600.28279474,0.03357022333808083,0.09321959600998278,0.8206170529667728,44.05016495200653,9.105639665208127,48.56573279187929,,114.92219969435328,12.876062587814584,33.09153366693789,0.8408582406559353,19.380920715453,0.48102141943159926,0.350145091535556,2.174560801487615,0.3619075649213436,0.40327043323622547,0.2919099958621219,0.3596675617094945,0.2989133001478214,0.2837499769607816,0.40644250198065446,11.195943771606137,25.2176763942831,431.1442727638876,46.41611374557481,7.681976253174831,9.456538152553904,9.198050339646658,8.182562951625224,6.692030172251585
