id,name,host_id,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,availability_365,number_of_reviews_ltm,neighbourhood_cleansed,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,accommodates,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_accuracy,review_scores_communication,review_scores_checkin,review_scores_value,property_type,host_acceptance_rate,maximum_nights,listing_url,region,distance_to_cristo_redentor,distance_to_pan_de_azucar,distance_to_copacabana_beach,distance_to_ipanema_beach,distance_to_botanical_garden
45638058,Apto Moderno na melhor localização do Leblon,43208705,-22.98515,-43.22783,0,2,54,2024-06-05,104,22,72,3,100.0,0,1,4,4.7,4.8,5.0,4.74,4.81,4.93,4.5,16,97,90,https://www.airbnb.com/rooms/45638058,101,4.100911089784533,8.465115582782396,4.925572656713949,2.3922714297753047,1.9786896015578697
50072559,Espaçoso  Quarto Sala pertinho da praia,318672692,-22.9755,-43.19096,0,3,7,2024-02-03,109,5,29,2,77.0,0,1,5,3.86,4.43,5.0,4.29,4.14,4.57,3.86,2,70,60,https://www.airbnb.com/rooms/50072559,147,3.299804750730289,4.719847426289392,1.0215900887320588,1.6714397419334803,4.017177399496209
32843395,Flat Aconchegante 2 - Jd Guanabara Galeão GIG,24521701,-22.81183,-43.1966,2,1,1,2019-03-18,365,0,67,2,100.0,1,1,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,37,80,1125,https://www.airbnb.com/rooms/32843395,9,15.640055252690903,15.785736238617664,17.7713668416928,19.150442848539964,17.618018597863834
1161642069351157093,"Vista espetacular, beleza relax",3866268,-22.94027049091613,-43.19948923544673,2,1,1,2024-06-10,270,1,31,3,92.0,0,1,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,26,77,365,https://www.airbnb.com/rooms/1161642069351157093,52,1.7156326360486231,4.618695802224617,3.85817532464189,4.878437089734028,4.2842355481931005
32585793,Apartamento em Copacabana RJ - Ótima localização,399964267,-22.96335,-43.17842,0,3,21,2023-04-23,12,0,29,3,92.30391864868317,0,0,5,4.81,4.76,4.95,4.81,5.0,4.86,4.67,16,76,15,https://www.airbnb.com/rooms/32585793,121,3.522723504739532,2.879897553784069,0.9446698377871467,3.514279160887644,5.218418483562353
706647586594767977,Aconchego no agito de Copa,427999002,-22.98015,-43.19109,0,3,27,2024-06-02,162,11,29,2,100.0,0,1,4,4.78,4.85,4.78,4.81,4.93,4.93,4.74,16,90,365,https://www.airbnb.com/rooms/706647586594767977,56,3.7170651444727913,5.072908611902896,1.3568209856586095,1.4347038801616994,4.151134139986857
9734007,Meirelles House Recreio,50225044,-23.02588,-43.50668,0,2,17,2023-05-24,364,0,104,3,100.0,0,0,8,4.65,4.71,5.0,4.47,4.71,4.76,4.65,16,96,1125,https://www.airbnb.com/rooms/9734007,145,31.414361811090743,36.98132809382125,33.76666703294836,31.27896978552518,29.13722163454304
3162169,AlexRioFlats® Studio Beach View,16040532,-22.97677,-43.1878,0,5,26,2022-09-05,122,0,29,3,100.0,1,1,4,4.88,4.96,4.96,4.96,5.0,5.0,4.77,16,96,30,https://www.airbnb.com/rooms/3162169,147,3.612330623024807,4.569880996759808,0.852159258039766,1.8844774089516136,4.364581434909149
40225896,"Suíte Solteiros / Casal padrão A, Barra da Tijuca",227893353,-22.96716,-43.3667,2,2,125,2024-06-17,49,30,63,3,92.30391864868317,0,1,2,4.81,4.79,4.84,4.75,4.72,4.66,4.82,35,76,90,https://www.airbnb.com/rooms/40225896,43,16.082501346175217,21.74288709093556,18.89400579694734,16.70909259410859,14.077331036181816
675430764478723624,Lovely apartment in Ipanema!,38023007,-22.98438,-43.19643,0,3,17,2024-02-15,148,9,60,2,100.0,1,1,6,4.88,5.0,4.76,4.94,5.0,5.0,4.82,9,80,365,https://www.airbnb.com/rooms/675430764478723624,26,3.888285506566701,5.793175114989157,2.0742968616540574,0.8278292337982568,3.849613564138511
13672381,"Apê Copacabana, Posto Cinco, perto da praia",79532783,-22.97986,-43.19296,0,3,16,2024-01-06,0,2,29,2,100.0,0,1,2,4.81,4.75,4.63,4.88,4.81,5.0,4.63,16,99,30,https://www.airbnb.com/rooms/13672381,56,3.5903711082303644,5.191239155851355,1.470447108318902,1.2638732266215404,3.96034911770652
